!!ObjTables type='Schema' tableFormat='row' description='Table/model and column/attribute definitions' date='2020-03-10 21:34:50' objTablesVersion='0.0.8'						
!Name	!Type	!Parent	!Format	!Verbose name	!Verbose name plural	!Description
Parent	Class		column	Parent	Parent	
id	Attribute	Parent	String(unique=True, primary=True)			
name	Attribute	Parent	String			
Child	Class		row	Child	Child	
id	Attribute	Child	String(unique=True, primary=True)			
name	Attribute	Child	String			
gender	Attribute	Child	Enum(['female', 'male'])			
parents	Attribute	Child	ManyToMany('Parent', related_name='children')			
favorite_video_game	Attribute	Child	ManyToOne('Game', related_name='children')			
Game	Class		multiple_cells	Game	Game	
name	Attribute	Game	String(unique=True, primary=True)			
publisher	Attribute	Game	String			
year	Attribute	Game	Integer			
