!!ObjTables type='Data' tableFormat='row' class='Metabolite' name='Metabolites' date='2020-06-03 15:21:24' objTablesVersion='1.0.14',,
!Id,!Name,!Formula
1pyr5c,1-Pyrroline-5-carboxylate,C5H6NO2
2ahbut,(S)-2-Aceto-2-hydroxybutanoate,C6H9O4
2aobut,L-2-Amino-3-oxobutanoate,C4H7NO3
2cpr5p,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C12H13NO9P
2dda7p,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H10O10P
2ddg6p,2-Dehydro-3-deoxy-D-gluconate 6-phosphate,C6H8O9P
2ippm,2-Isopropylmaleate,C7H8O4
2obut,2-Oxobutanoate,C4H5O3
2pg,D-Glycerate 2-phosphate,C3H4O7P
3c2hmp,3-Carboxy-2-hydroxy-4-methylpentanoate,C7H10O5
3c3hmp,3-Carboxy-3-hydroxy-4-methylpentanoate,C7H10O5
3c4mop,3-Carboxy-4-methyl-2-oxopentanoate,C7H8O5
3dhq,3-Dehydroquinate,C7H9O6
3dhsk,3-Dehydroshikimate,C7H7O5
3haACP,(3R)-3-Hydroxyacyl-[acyl-carrier protein],C15H27N2O9PRS
3hbcoa,(S)-3-Hydroxybutanoyl-CoA,C25H38N7O18P3S
3hcddec5eACP,(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein],C23H41N2O9PRS
3hcmrs7eACP,(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein],C25H45N2O9PRS
3hcpalm9eACP,(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein],C27H49N2O9PRS
3hdcoa,(S)-3-Hydroxydecanoyl-CoA,C31H50N7O18P3S
3hddcoa,(S)-3-Hydroxydodecanoyl-CoA,C33H54N7O18P3S
3hddecACP,(R)-3-Hydroxydodecanoyl-[acyl-carrier protein],C23H43N2O9PRS
3hdecACP,(R)-3-Hydroxydecanoyl-[acyl-carrier protein],C21H39N2O9PRS
3hhcoa,(S)-3-Hydroxyhexanoyl-CoA,C27H42N7O18P3S
3hhdcoa,(S)-3-Hydroxyhexadecanoyl-CoA,C37H62N7O18P3S
3hhexACP,(R)-3-Hydroxyhexanoyl-[acyl-carrier protein],C17H31N2O9PRS
3hmrsACP,(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],C25H47N2O9PRS
3hocoa,(S)-3-Hydroxyoctanoyl-CoA,C29H46N7O18P3S
3hoctaACP,(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],C29H55N2O9PRS
3hoctACP,(R)-3-Hydroxyoctanoyl-[acyl-carrier protein],C19H35N2O9PRS
3hodcoa,(S)-3-Hydroxyoctadecanoyl-CoA,C39H66N7O18P3S
3hpalmACP,R-3-hydroxypalmitoyl-[acyl-carrier protein],C27H51N2O9PRS
3htdcoa,(S)-3-Hydroxytetradecanoyl-CoA,C35H58N7O18P3S
3ig3p,C'-(3-Indolyl)-glycerol 3-phosphate,C11H12NO6P
3mob,3-Methyl-2-oxobutanoate,C5H7O3
3mop,(S)-3-Methyl-2-oxopentanoate,C6H9O3
3ocddec5eACP,3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein],C23H39N2O9PRS
3ocmrs7eACP,3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein],C25H43N2O9PRS
3ocpalm9eACP,3-oxo-cis-palm-9-eoyl-[acyl-carrier protein],C27H47N2O9PRS
3odcoa,3-Oxodecanoyl-CoA,C31H48N7O18P3S
3oddcoa,3-Oxododecanoyl-CoA,C33H52N7O18P3S
3oddecACP,3-Oxododecanoyl-[acyl-carrier protein],C23H41N2O9PRS
3odecACP,3-Oxodecanoyl-[acyl-carrier protein],C21H37N2O9PRS
3ohcoa,3-Oxohexanoyl-CoA,C27H40N7O18P3S
3ohdcoa,3-Oxohexadecanoyl-CoA,C37H60N7O18P3S
3ohexACP,3-Oxohexanoyl-[acyl-carrier protein],C17H29N2O9PRS
3omrsACP,3-Oxotetradecanoyl-[acyl-carrier protein],C25H45N2O9PRS
3oocoa,3-Oxooctanoyl-CoA,C29H44N7O18P3S
3ooctACP,3-Oxooctanoyl-[acyl-carrier protein],C19H33N2O9PRS
3ooctdACP,3-Oxooctadecanoyl-[acyl-carrier protein],C29H53N2O9PRS
3oodcoa,3-Oxooctadecanoyl-CoA,C39H64N7O18P3S
3opalmACP,3-Oxohexadecanoyl-[acyl-carrier protein],C27H49N2O9PRS
3otdcoa,3-Oxotetradecanoyl-CoA,C35H56N7O18P3S
3pg,3-Phospho-D-glycerate,C3H4O7P
3php,3-Phosphohydroxypyruvate,C3H2O7P
3psme,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C10H9O10P
4abut,4-Aminobutanoate,C4H9NO2
4abutn,4-Aminobutanal,C4H10NO
4mop,4-Methyl-2-oxopentanoate,C6H9O3
4pasp,4-Phospho-L-aspartate,C4H6NO7P
5aizc,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,C9H11N3O9P
5caiz,5-phosphoribosyl-5-carboxyaminoimidazole,C9H11N3O9P
5mthf,5-Methyltetrahydrofolate,C20H24N7O6
6pgc,6-Phospho-D-gluconate,C6H10O10P
6pgl,"6-phospho-D-glucono-1,5-lactone",C6H9O9P
10fthf,10-Formyltetrahydrofolate,C20H21N7O7
12ppd-R,"(R)-Propane-1,2-diol",C3H8O2
13dpg,3-Phospho-D-glyceroyl phosphate,C3H4O10P2
15dap,"1,5-Diaminopentane",C5H16N2
23dhdp,"2,3-Dihydrodipicolinate",C7H5NO4
23dhmb,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4
23dhmp,"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H11O4
25aics,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C13H15N4O12P
26dap-LL,"LL-2,6-Diaminoheptanedioate ",C7H14N2O4
26dap-M,"meso-2,6-Diaminoheptanedioate",C7H14N2O4
34hpp,3-(4-Hydroxyphenyl)pyruvate,C9H7O4
aacoa,Acetoacetyl-CoA,C25H36N7O18P3S
aact,Aminoacetone,C3H8NO
ac,Acetate,C2H3O2
acACP,Acetyl-ACP,C13H23N2O8PRS
acald,Acetaldehyde,C2H4O
accoa,Acetyl-CoA,C23H34N7O17P3S
acetol,Acetol,C3H6O2
acg5p,N-Acetyl-L-glutamyl 5-phosphate,C7H9NO8P
acg5sa,N-Acetyl-L-glutamate 5-semialdehyde,C7H10NO4
acglu,N-Acetyl-L-glutamate,C7H9NO5
acon-C,cis-Aconitate,C6H3O6
acorn,N2-Acetyl-L-ornithine,C7H14N2O3
ACP,acyl carrier protein,C11H21N2O7PRS
acser,O-Acetyl-L-serine,C5H9NO4
actACP,Acetoacetyl-ACP,C15H25N2O9PRS
actp,Acetyl phosphate,C2H3O5P
adp,Adenosine diphosphate,C10H12N5O10P2
adpglc,ADPglucose,C16H23N5O15P2
agm,Agmatine,C5H16N4
aicar,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,C9H13N4O8P
air,5-amino-1-(5-phospho-D-ribosyl)imidazole,C8H12N3O7P
akg,2-Oxoglutarate,C5H4O5
ala-D,D-Alanine,C3H7NO2
ala-L,L-Alanine,C3H7NO2
alac-S,(S)-2-Acetolactate,C5H7O4
amp,Adenosine monophosphate,C10H12N5O7P
anth,Anthranilate,C7H6NO2
arg-L,L-Arginine,C6H15N4O2
argsuc,N(omega)-(L-Arginino)succinate,C10H17N4O6
asn-L,L-Asparagine,C4H8N2O3
asp-L,L-Aspartate,C4H6NO4
