!!ObjTables type='Data' tableFormat='row' class='Regulation' name='Regulations' date='2020-05-28 23:58:52' objTablesVersion='1.0.0' format='row'			
!Reaction	!Regulator	!Regulator compartment	!Type [Ref2, Ref3]
GLCS1	6pgl	c	competitive inhibition
PSP_L	ser-L	c	competitive inhibition
PGCD	ser-L	c	competitive inhibition
PGCD	nadh	c	competitive inhibition
GLUN	nadh	c	mixed inhibition
GLUN	pi	c	mixed inhibition
IGPDH	pi	c	competitive inhibition
ACODA	pi	c	competitive inhibition
ACODA	ac	c	competitive inhibition
ACODA	gthrd	c	competitive inhibition
ACODA	orn	c	competitive inhibition
ACOTA	orn	c	competitive inhibition
OCBT	orn	c	competitive inhibition
OCBT	gly	c	competitive inhibition
GLUSy	gly	c	competitive inhibition
GLUSy	adp	c	competitive inhibition
GLGC	adp	c	competitive inhibition
GLGC	fdp	c	competitive inhibition
PPC	fdp	c	activation
PPC	fum	c	competitive inhibition
ADSS	fum	c	competitive inhibition
ADSS	succ	c	competitive inhibition
DHQTi	succ	c	competitive inhibition
ABTA	succ	c	competitive inhibition
ABTA	akg	c	competitive inhibition
PPS	akg	c	competitive inhibition
PPS	adp	c	competitive inhibition
PPS	adpglc	c	competitive inhibition
PPS	atp	c	competitive inhibition
GLUN	atp	c	mixed inhibition
LDH_D	atp	c	mixed inhibition
PPA	atp	c	competitive inhibition
PTAr	atp	c	mixed inhibition
PTAr	adp	c	mixed inhibition
PTAr	nadh	c	mixed inhibition
PTAr	nadph	p	mixed inhibition
G5SD	nadph	p	competitive inhibition
G6PDH2r	nadph	p	mixed inhibition
G6PDH2r	nadh	c	competitive inhibition
GLUN	nadph	p	mixed inhibition
GLUSy	nadph	p	competitive inhibition
G5SD	co2	c	competitive inhibition
G5SD	nadp	c	competitive inhibition
3OAR100	nadp	c	competitive inhibition
GLUN	nadp	c	mixed inhibition
GLUSy	nadp	c	competitive inhibition
GND	nadp	c	competitive inhibition
GND	atp	c	competitive inhibition
GND	coa	c	competitive inhibition
ACGS	coa	c	competitive inhibition
ACGS	acglu	c	competitive inhibition
ACGS	arg-L	c	competitive inhibition
ACGK	arg-L	c	competitive inhibition
ACGK	atp	c	competitive inhibition
AGMT	arg-L	c	competitive inhibition
AGMT	orn	c	competitive inhibition
ACGS	citr-L	c	competitive inhibition
ACOATA	coa	c	competitive inhibition
ACOATA	ACP	c	competitive inhibition
ACCOAC	ACP	c	competitive inhibition
EAR100x	ACP	c	competitive inhibition
EAR100x	pmtcoa	c	competitive inhibition
EAR100y	pmtcoa	c	competitive inhibition
ACOATA	accoa	c	competitive inhibition
3OAS100	accoa	c	competitive inhibition
3OAS100	pi	c	activation
MCOATA	accoa	c	competitive inhibition
MCOATA	coa	c	competitive inhibition
ME1	accoa	c	competitive inhibition
ME1	atp	c	competitive inhibition
ME1	asp-L	c	activation
ASNN	asp-L	c	competitive inhibition
ASNN	asn-L	c	competitive inhibition
ASNS1	asn-L	c	competitive inhibition
ASNS1	gln-L	c	competitive inhibition
GLUSy	asn-L	c	competitive inhibition
OCBT	asn-L	c	competitive inhibition
ASPT	asp-L	c	competitive inhibition
ASPT	mal-L	c	competitive inhibition
GLUSy	mal-L	c	competitive inhibition
ASPK	mal-L	c	competitive inhibition
ASPK	hom-L	c	competitive inhibition
GLUSy	hom-L	c	competitive inhibition
HSDy	hom-L	c	competitive inhibition
HSDy	atp	c	activation
HSDy	cys-L	c	competitive inhibition
ASAD	cys-L	c	competitive inhibition
GLYAT	cys-L	c	competitive inhibition
GLYAT	coa	c	competitive inhibition
HSK	cys-L	c	competitive inhibition
HSK	aspsa	c	competitive inhibition
HSK	hcys-L	c	competitive inhibition
HSK	ser-L	c	competitive inhibition
HSK	ile-L	c	competitive inhibition
OCBT	ile-L	c	competitive inhibition
HSK	met-L	c	competitive inhibition
GLUSy	met-L	c	competitive inhibition
HSST	met-L	c	competitive inhibition
CYSDS	met-L	c	competitive inhibition
CYSDS	ala-L	c	competitive inhibition
GLUSy	ala-L	c	competitive inhibition
OCBT	ala-L	c	competitive inhibition
PGCD	ala-L	c	competitive inhibition
SERAT	ala-L	c	competitive inhibition
SERAT	atp	c	competitive inhibition
SERAT	cys-L	c	competitive inhibition
SERAT	coa	c	competitive inhibition
SERAT	gly	c	competitive inhibition
SERAT	ser-L	c	competitive inhibition
SERD_L	ala-L	c	competitive inhibition
SERD_L	his-L	c	competitive inhibition
ATPPRT	his-L	c	competitive inhibition
ATPPRT	atp	c	competitive inhibition
ATPPRT	amp	c	competitive inhibition
ACALD	amp	c	competitive inhibition
ACALD	nad	c	activation
GLUN	nad	c	mixed inhibition
THRD	nad	c	competitive inhibition
THRD	adp	c	competitive inhibition
THRD	atp	c	competitive inhibition
THRD	pyr	c	competitive inhibition
GLUSy	pyr	c	competitive inhibition
PROD2	pyr	c	competitive inhibition
PROD2	lac-D	c	competitive inhibition
GHMT2r	lac-D	c	competitive inhibition
GHMT2r	ser-L	c	activation
PSCVT	pyr	c	competitive inhibition
PSCVT	3psme	c	competitive inhibition
PSCVT	pep	c	competitive inhibition
ICDHyr	pep	c	mixed inhibition
ICDHyr	glx	c	competitive inhibition
ICDHyr	oaa	c	competitive inhibition
FRD2	oaa	c	competitive inhibition
FRD2	atp	c	activation
FRD2	ppi	c	activation
GLGC	ppi	c	competitive inhibition
GLUN	ppi	c	activation
GLUSy	oaa	c	competitive inhibition
ME1	oaa	c	competitive inhibition
PPS	oaa	c	competitive inhibition
ICL	pep	c	competitive inhibition
ICL	3pg	c	competitive inhibition
PGK	3pg	c	activation
PGK	atp	c	activation
ICL	akg	c	competitive inhibition
ICL	icit	c	mixed inhibition
ICL	succ	c	competitive inhibition
ICL	acon-C	c	competitive inhibition
GLUSy	acon-C	c	competitive inhibition
PPNDH	acon-C	c	competitive inhibition
PPNDH	phe-L	c	competitive inhibition
CHORM	phe-L	c	competitive inhibition
CHORM	acon-C	c	competitive inhibition
