!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:19:37' objTablesVersion='1.0.5'							
!QuantityType	!Mean	!Std	!Sign	!Unit	!Compound:SBML:species:id	!Reaction:SBML:reaction:id	!UseAsPriorInformation
Michaelis constant	0.12	0.141421	0	mM	GLU_ext	R1	False
Michaelis constant	0.4085	0.559386	0	mM	GLU_6_P	R10a	False
Michaelis constant	1.3595	2.20547	0	mM	NAD	R10a	False
Michaelis constant	2.77667	1.80683	0	mM	RIBOSE_5_P	R12r	False
Michaelis constant	0.161667	0.115578	0	mM	ERYTH_4_P	R14r	False
Michaelis constant	1.11333	0.150111	0	mM	FRU_6_P	R14r	False
Michaelis constant	0.969	1.31663	0	mM	GA_3P	R14r	False
Michaelis constant	2.21	0.226274	0	mM	PYR	R20	False
Michaelis constant	0.38795	0.179676	0	mM	PYR	R21	False
Michaelis constant	0.08	0.0424264	0	mM	ACETYL_CoA	R22	False
Michaelis constant	0.0215	0.000707107	0	mM	OXALO	R22	False
Michaelis constant	6.20167	6.97443	0	mM	CITRATE	R23r	False
Michaelis constant	4.84927	9.79702	0	mM	ISOCIT	R23r	False
Michaelis constant	0.01952	0.0144814	0	mM	ISOCIT	R24	False
Michaelis constant	1.89464	2.56095	0	mM	NAD	R24	False
Michaelis constant	0.06305	0.0408706	0	mM	AKG	R25	False
Michaelis constant	0.056	0.0763675	0	mM	SUCC	R27	False
Michaelis constant	0.0127	0.0103238	0	mM	FUMARATE	R27b	False
Michaelis constant	0.27575	0.387848	0	mM	SUCC	R27b	False
Michaelis constant	0.375	0.318198	0	mM	FUMARATE	R28r	False
Michaelis constant	0.9	0.282843	0	mM	MALATE	R28r	False
Michaelis constant	0.2095	0.0883883	0	mM	FRU_6_P	R2r	False
Michaelis constant	0.154	0.0502991	0	mM	ATP	R3	False
Michaelis constant	0.1225	0.0330404	0	mM	FRU_6_P	R3	False
Michaelis constant	0.0126333	0.0193717	0	mM	FRU_BIS_P	R4	False
Michaelis constant	0.395	0.289914	0	mM	PEP	R40	False
Michaelis constant	0.01	0.00424264	0	mM	ACETYL_CoA	R54ra	False
Michaelis constant	0.009	0.00141421	0	mM	CoASH	R54ra	False
Michaelis constant	5.75	6.01041	0	mM	ACALD	R54ra	False
Michaelis constant	0.065	0.0212132	0	mM	NAD	R54ra	False
Michaelis constant	0.0625	0.053033	0	mM	NADH	R54ra	False
Michaelis constant	0.19825	0.0718256	0	mM	FRU_BIS_P	R5r	False
Michaelis constant	0.112	0.0169706	0	mM	PG	R8r	False
Michaelis constant	0.093		0	mM	GLUCO_6_P	R10c	False
Michaelis constant	0.049		0	mM	NAD	R10c	False
Michaelis constant	2.1		0	mM	GA_3P	R13r	False
Michaelis constant	1.4		0	mM	RIBOSE_5_P	R13r	False
