!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Reaction' name='Reaction' date='2020-07-18 12:14:02' objTablesVersion='1.0.5' document='BIOMD0000000061',,,,,,,,,,,,,
!Name,!ID,!ReactionFormula,!IsComplete,!IsReversible,!IsInEquilibrium,!IsExchangeReaction,!IsNonEnzymatic,!KineticLaw,!BuildReaction,!BuildEnzyme,!BuildEnzymeProduction,!Identifiers:ec-code,!Regulator
Glucose Mixed flow to extracellular medium,vinGlc,GlcX0 <=> GlcX,False,True,False,False,False,extracellular * k0 * (GlcX0 - GlcX),False,False,False,,
Glucose uptake,vGlcTrans,GlcX <=> 59.0 Glc,False,True,False,False,False,extracellular * V2f / Yvol * (GlcX / K2Glc / (1 + GlcX / K2Glc + (P2 * (GlcX / K2Glc) + 1) / (P2 * (Glc / K2Glc) + 1) * (1 + Glc / K2Glc + G6P / K2IG6P + Glc * G6P / (K2Glc * K2IIG6P)))) - cytosol * V2r / Yvol * (Glc / K2Glc / (1 + Glc / K2Glc + (P2 * (Glc / K2Glc) + 1) / (P2 * (GlcX / K2Glc) + 1) * (1 + GlcX / K2Glc) + G6P / K2IG6P + Glc * G6P / (K2Glc * K2IIG6P))),False,False,False,,G6P
Hexokinase,vHK,ATP + Glc <=> G6P + ADP,False,True,False,False,False,cytosol * V3m * ATP * Glc / (K3DGlc * K3ATP + K3Glc * ATP + K3ATP * Glc + Glc * ATP),False,False,False,2.7.1.2,
Phosphoglucoisomerase,vPGI,G6P <=> F6P,False,True,False,False,False,cytosol * (V4f * G6P / (K4G6P + G6P + K4G6P / K4F6P * F6P) - V4r * (F6P / K4eq) / (K4G6P + G6P + K4G6P / K4F6P * F6P)),False,False,False,5.3.1.9,
Phosphofructokinase,vPFK,F6P + ATP <=> FBP + ADP,False,True,False,False,False,"cytosol * (V5m * pow(F6P, 2) / (K5 * (1 + kappa5 * (ATP / AMP) * (ATP / AMP)) + pow(F6P, 2)))",False,False,False,2.7.1.11,AMP
Aldolase,vALD,FBP <=> GAP + DHAP,False,True,False,False,False,cytosol * (V6f * FBP / (K6FBP + FBP + GAP * K6DHAP * V6f / (K6eq * V6f * ratio6) + DHAP * K6GAP * V6f / (K6eq * V6f * ratio6) + FBP * GAP / K6IGAP + GAP * DHAP * V6f / (K6eq * V6f * ratio6)) - V6f * GAP * DHAP / K6eq / (K6FBP + FBP + GAP * K6DHAP * V6f / (K6eq * V6f * ratio6) + DHAP * K6GAP * V6f / (K6eq * V6f * ratio6) + FBP * GAP / K6IGAP + GAP * DHAP * V6f / (K6eq * V6f * ratio6))),False,False,False,4.1.2.13,
Triosephosphate isomerase,vTIM,DHAP <=> GAP,False,True,False,False,False,cytosol * (V7f * DHAP / (K7DHAP + DHAP + K7DHAP / K7GAP * GAP) - V7r * (GAP / K7eq) / (K7DHAP + DHAP + K7DHAP / K7GAP * GAP)),False,False,False,5.3.1.1,
Glyceraldehyde 3-phosphate dehydrogenase,vGAPDH,GAP + NAD <=> NADH + BPG,False,True,False,False,False,cytosol * (V8f * GAP * NAD / K8GAP / K8NAD / ((1 + GAP / K8GAP + BPG / K8BPG) * (1 + NAD / K8NAD + NADH / K8NADH)) - V8r * BPG * NADH / K8eq / K8GAP / K8NAD / ((1 + GAP / K8GAP + BPG / K8BPG) * (1 + NAD / K8NAD + NADH / K8NADH))),False,False,False,1.2.1.12,
Phosphoenolpyruvate synthesis,vlpPEP,BPG + ADP <=> PEP + ATP,False,True,False,False,False,cytosol * (k9f * BPG * ADP - k9r * PEP * ATP),False,False,False,4.2.1.11,
Pyruvate kinase,vPK,ADP + PEP <=> Pyr + ATP,False,True,False,False,False,cytosol * (V10m * ADP * PEP / ((K10PEP + PEP) * (K10ADP + ADP))),False,False,False,2.7.1.40,
Pyruvate decarboxylase,vPDC,Pyr <=> ACA,False,True,False,False,False,cytosol * (V11m * Pyr / (K11 + Pyr)),False,False,False,4.1.1.1,
Alcohol dehydrogenase,vADH,NADH + ACA <=> NAD + EtOH,False,True,False,False,False,cytosol * (V12m * ACA * NADH / ((K12NADH + NADH) * (K12ACA + ACA))),False,False,False,1.1.1.1,
Ethanol out,vdifEtOH,59.0 EtOH <=> EtOHX,False,True,False,False,False,k13 / Yvol * (cytosol * EtOH - extracellular * EtOHX),False,False,False,,
Ethanol flow,voutEtOH,EtOHX <=> P,False,True,False,False,False,extracellular * k0 * EtOHX,False,False,False,,
Glycerol synthesis,vlpGlyc,DHAP + NADH <=> Glyc + NAD,False,True,False,False,False,cytosol * (V15m * DHAP / (K15DHAP * (1 + K15INADH / NADH * (1 + NAD / K15INAD)) + DHAP * (1 + K15NADH / NADH * (1 + NAD / K15INAD)))),False,False,False,1.1.1.6,
Glycerol out,vdifGlyc,59.0 Glyc <=> GlycX,False,True,False,False,False,k16 / Yvol * (cytosol * Glyc - extracellular * GlycX),False,False,False,,
Glycerol flow,voutGlyc,GlycX <=> P,False,True,False,False,False,extracellular * k0 * GlycX,False,False,False,,
Acetaldehyde out,vdifACA,59.0 ACA <=> ACAX,False,True,False,False,False,k18 / Yvol * (cytosol * ACA - extracellular * ACAX),False,False,False,,
Acetaldehyde flow,voutACA,ACAX <=> P,False,True,False,False,False,extracellular * k0 * ACAX,False,False,False,,
Cyanide-Acetaldehyde flow,vlacto,CNX + ACAX <=> P,False,True,False,False,False,extracellular * k20 * ACAX * CNX,False,False,False,,
Cyanide flow,vinCN,CNX0 <=> CNX,False,True,False,False,False,extracellular * k0 * (CNX0 - CNX),False,False,False,,
Storage,vstorage,ATP + G6P <=> ADP,False,True,False,False,False,cytosol * k22 * ATP * G6P,False,False,False,,
ATP consumption,vconsum,ATP <=> ADP,False,True,False,False,False,cytosol * k23 * ATP,False,False,False,,
Adenylate kinase,vAK,ATP + AMP <=> 2.0 ADP,False,True,False,False,False,"cytosol * (k24f * AMP * ATP - k24r * pow(ADP, 2))",False,False,False,2.7.4.3,
