!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:14:02' objTablesVersion='1.0.5' document='BIOMD0000000061'						
!Description	!ID	!Value	!Sign	!SBML:parameter:id	!Unit	!UseAsPriorInformation
local parameter	k0_vinGlc	0.048	0	k0	min_inverse	False
local parameter	V2f_vGlcTrans	1014.96	0	V2f	mM_per_minute	False
local parameter	Yvol_vGlcTrans	59.0	0	Yvol	dimensionless	False
local parameter	K2Glc_vGlcTrans	1.7	0	K2Glc	mM	False
local parameter	P2_vGlcTrans	1.0	0	P2	dimensionless	False
local parameter	K2IG6P_vGlcTrans	1.2	0	K2IG6P	mM	False
local parameter	K2IIG6P_vGlcTrans	7.2	0	K2IIG6P	mM	False
local parameter	V2r_vGlcTrans	1014.96	0	V2r	mM_per_minute	False
local parameter	V3m_vHK	51.7547	0	V3m	mM_per_minute	False
local parameter	K3DGlc_vHK	0.37	0	K3DGlc	mM	False
local parameter	K3ATP_vHK	0.1	0	K3ATP	mM	False
local parameter	K3Glc_vHK	0.0	0	K3Glc	mM	False
local parameter	V4f_vPGI	496.042	0	V4f	mM_per_minute	False
local parameter	K4G6P_vPGI	0.8	0	K4G6P	mM	False
local parameter	K4F6P_vPGI	0.15	0	K4F6P	mM	False
local parameter	V4r_vPGI	496.042	0	V4r	mM_per_minute	False
local parameter	K4eq_vPGI	0.13	0	K4eq	dimensionless	False
local parameter	V5m_vPFK	45.4327	0	V5m	mM_per_minute	False
local parameter	K5_vPFK	0.021	0	K5	mM_squared	False
local parameter	kappa5_vPFK	0.15	0	kappa5	dimensionless	False
local parameter	V6f_vALD	2207.82	0	V6f	mM_per_minute	False
local parameter	K6FBP_vALD	0.3	0	K6FBP	mM	False
local parameter	K6DHAP_vALD	2.0	0	K6DHAP	mM	False
local parameter	K6eq_vALD	0.081	0	K6eq	mM	False
local parameter	ratio6_vALD	5.0	0	ratio6	dimensionless	False
local parameter	K6GAP_vALD	4.0	0	K6GAP	mM	False
local parameter	K6IGAP_vALD	10.0	0	K6IGAP	mM	False
local parameter	V7f_vTIM	116.365	0	V7f	mM_per_minute	False
local parameter	K7DHAP_vTIM	1.23	0	K7DHAP	mM	False
local parameter	K7GAP_vTIM	1.27	0	K7GAP	mM	False
local parameter	V7r_vTIM	116.365	0	V7r	mM_per_minute	False
local parameter	K7eq_vTIM	0.055	0	K7eq	dimensionless	False
local parameter	V8f_vGAPDH	833.858	0	V8f	mM_per_minute	False
local parameter	K8GAP_vGAPDH	0.6	0	K8GAP	mM	False
local parameter	K8NAD_vGAPDH	0.1	0	K8NAD	mM	False
local parameter	K8BPG_vGAPDH	0.01	0	K8BPG	mM	False
local parameter	K8NADH_vGAPDH	0.06	0	K8NADH	mM	False
local parameter	V8r_vGAPDH	833.858	0	V8r	mM_per_minute	False
local parameter	K8eq_vGAPDH	0.0055	0	K8eq	dimensionless	False
local parameter	k9f_vlpPEP	443866.0	0	k9f	mM_inverse_min_inverse	False
local parameter	k9r_vlpPEP	1528.62	0	k9r	mM_inverse_min_inverse	False
local parameter	V10m_vPK	343.096	0	V10m	mM_per_minute	False
local parameter	K10PEP_vPK	0.2	0	K10PEP	mM	False
local parameter	K10ADP_vPK	0.17	0	K10ADP	mM	False
local parameter	V11m_vPDC	53.1328	0	V11m	mM_per_minute	False
local parameter	K11_vPDC	0.3	0	K11	mM	False
local parameter	V12m_vADH	89.8023	0	V12m	mM_per_minute	False
local parameter	K12NADH_vADH	0.1	0	K12NADH	mM	False
local parameter	K12ACA_vADH	0.71	0	K12ACA	mM	False
local parameter	k13_vdifEtOH	16.72	0	k13	min_inverse	False
local parameter	Yvol_vdifEtOH	59.0	0	Yvol	dimensionless	False
local parameter	k0_voutEtOH	0.048	0	k0	min_inverse	False
local parameter	V15m_vlpGlyc	81.4797	0	V15m	mM_per_minute	False
local parameter	K15DHAP_vlpGlyc	25.0	0	K15DHAP	mM	False
local parameter	K15INADH_vlpGlyc	0.034	0	K15INADH	mM	False
local parameter	K15INAD_vlpGlyc	0.13	0	K15INAD	mM	False
local parameter	K15NADH_vlpGlyc	0.13	0	K15NADH	mM	False
local parameter	k16_vdifGlyc	1.9	0	k16	min_inverse	False
local parameter	Yvol_vdifGlyc	59.0	0	Yvol	dimensionless	False
local parameter	k0_voutGlyc	0.048	0	k0	min_inverse	False
local parameter	k18_vdifACA	24.7	0	k18	min_inverse	False
local parameter	Yvol_vdifACA	59.0	0	Yvol	dimensionless	False
local parameter	k0_voutACA	0.048	0	k0	min_inverse	False
local parameter	k20_vlacto	0.00283828	0	k20	mM_inverse_min_inverse	False
local parameter	k0_vinCN	0.048	0	k0	min_inverse	False
local parameter	k22_vstorage	2.25932	0	k22	mM_inverse_min_inverse	False
local parameter	k23_vconsum	3.2076	0	k23	min_inverse	False
local parameter	k24f_vAK	432.9	0	k24f	mM_inverse_min_inverse	False
local parameter	k24r_vAK	133.333	0	k24r	mM_inverse_min_inverse	False
