!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:18:40' objTablesVersion='1.0.5' level='1.0' version='0.1'											
!Reference	!QuantityType	!Mean	!Std	!Sign	!Unit	!Compound:SBML:species:id	!Reaction:SBML:reaction:id	!Organism	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!UseAsPriorInformation
yeastGFP	concentration of enzyme	169000.0		0	molecules/cell	nan	v4	Saccharomyces cerevisiae	R01061	nan	False
yeastGFP	concentration of enzyme	120000.0		0	molecules/cell	nan	v4	Saccharomyces cerevisiae	R01061	nan	False
yeastGFP	concentration of enzyme	121000.0		0	molecules/cell	nan	v4	Saccharomyces cerevisiae	R01061	nan	False
NIST	equilibrium constant	0.1		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.2		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.2		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.2		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.2		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.2		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.3		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.4		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.4		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.4		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.4		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.4		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.4		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.5		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.5		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.6		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.6		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.6		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.6		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.6		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.7		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.7		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.8		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.9		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	1.0		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	1.3		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	1.4		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v4	nan	R01061	nan	False
NIST	equilibrium constant	17.0		0	dimensionless	nan	v4	nan	R01061	nan	False
yeastGFP	concentration of enzyme	4670.0		0	molecules/cell	nan	v29	Saccharomyces cerevisiae	R01324	nan	False
yeastGFP	concentration of enzyme	96700.0		0	molecules/cell	nan	v29	Saccharomyces cerevisiae	R01324	nan	False
Brenda	inhibitory constant	0.4		0	mM	Fum	v29	Rattus rattus	R01324	C00122	False
Brenda	inhibitory constant	0.5		0	mM	Fum	v29	Rattus rattus	R01324	C00122	False
Brenda	inhibitory constant	2.8		0	mM	OXA	v29	Rattus rattus	R01324	C00036	False
Brenda	inhibitory constant	0.3		0	mM	Suc	v29	Rattus rattus	R01324	C00042	False
Brenda	inhibitory constant	0.6		0	mM	Suc	v29	Rattus rattus	R01324	C00042	False
Brenda	inhibitory constant	1.0		0	mM	OXA	v29	Rattus rattus	R01324	C00036	False
yeastGFP	concentration of enzyme	14300.0		0	molecules/cell	nan	v14	Saccharomyces cerevisiae	R01700	nan	False
Brenda	inhibitory constant	0.0		0	mM	NADH	v14	Dictyostelium discoideum	R01700	C00004	False
Brenda	inhibitory constant	0.0		0	mM	SCoA	v14	Dictyostelium discoideum	R01700	C00091	False
Brenda	inhibitory constant	0.0		0	mM	NADH	v14	Gluconacetobacter xylinus	R01700	C00004	False
Brenda	inhibitory constant	0.0		0	mM	SCoA	v14	Gluconacetobacter xylinus	R01700	C00091	False
