!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:15:02' objTablesVersion='1.0.5' ionicStrength='0.1' ionicStrengthUnit='mM' pH='7.0' temperature='298.15' temperatureUnit='kelvin' unit='kJ/mol',,,,,,
!Comment,!QuantityType,!Mean,!Std,!Sign,!Identifiers:kegg.reaction,!UseAsPriorInformation
,standard Gibbs energy of reaction,-766.9,47.4,0,R00002,False
,standard Gibbs energy of reaction,-15.8,0.4,0,R00004,False
,standard Gibbs energy of reaction,-78.8,15.2,0,R00005,False
,standard Gibbs energy of reaction,32.2,7.4,0,R00006,False
,standard Gibbs energy of reaction,16.3,4.7,0,R00008,False
,standard Gibbs energy of reaction,-193.1,13.3,0,R00009,False
,standard Gibbs energy of reaction,-11.7,2.1,0,R00010,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00011,False
,standard Gibbs energy of reaction,15.0,15.0,0,R00012,False
,standard Gibbs energy of reaction,-19.6,8.8,0,R00013,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00014,False
,standard Gibbs energy of reaction,-6.2,10.7,0,R00015,False
,standard Gibbs energy of reaction,-1.2,5.2,0,R00016,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00017,False
,standard Gibbs energy of reaction,-0.8,15.6,0,R00018,False
,standard Gibbs energy of reaction,12.6,13.0,0,R00019,False
,standard Gibbs energy of reaction,71.3,11.8,0,R00021,False
,standard Gibbs energy of reaction,-13.6,18.3,0,R00022,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00023,False
,standard Gibbs energy of reaction,-28.3,7.5,0,R00024,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00025,False
,standard Gibbs energy of reaction,-12.9,3.7,0,R00026,False
,standard Gibbs energy of reaction,7.8,20.1,0,R00027,False
,standard Gibbs energy of reaction,-14.6,3.1,0,R00028,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00029,False
,standard Gibbs energy of reaction,-522.5,15.4,0,R00031,False
,standard Gibbs energy of reaction,-364.6,88.8,0,R00032,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00033,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00034,False
,standard Gibbs energy of reaction,-109.0,9.7,0,R00036,False
,standard Gibbs energy of reaction,-10.0,4.4,0,R00038,False
,standard Gibbs energy of reaction,1.0,6.3,0,R00039,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00041,False
,standard Gibbs energy of reaction,-671.6,20.3,0,R00042,False
,standard Gibbs energy of reaction,-368.5,26.8,0,R00043,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00044,False
,standard Gibbs energy of reaction,-383.9,20.7,0,R00045,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00047,False
,standard Gibbs energy of reaction,-49.4,9.7,0,R00048,False
,standard Gibbs energy of reaction,-8.2,39.2,0,R00049,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00052,False
,standard Gibbs energy of reaction,-57.7,33.2,0,R00053,False
,standard Gibbs energy of reaction,-58.1,24.7,0,R00054,False
,standard Gibbs energy of reaction,-423.3,10.5,0,R00055,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00056,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00057,False
,standard Gibbs energy of reaction,-277.5,24.5,0,R00058,False
,standard Gibbs energy of reaction,3.6,11.1,0,R00059,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00060,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00061,False
,standard Gibbs energy of reaction,0.0,162.8,0,R00062,False
,standard Gibbs energy of reaction,-6.5,7.8,0,R00063,False
,standard Gibbs energy of reaction,-162.4,34.0,0,R00066,False
,standard Gibbs energy of reaction,98.7,5.8,0,R00067,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00068,False
,standard Gibbs energy of reaction,162.7,15.4,0,R00069,False
,standard Gibbs energy of reaction,-659.9,97.2,0,R00070,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00072,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00073,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00074,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00075,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00076,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00077,False
,standard Gibbs energy of reaction,-46.2,33.5,0,R00078,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00080,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00081,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00082,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00083,False
,standard Gibbs energy of reaction,-128.2,45.0,0,R00084,False
,standard Gibbs energy of reaction,-50.2,1.2,0,R00085,False
,standard Gibbs energy of reaction,-26.4,0.6,0,R00086,False
,standard Gibbs energy of reaction,-34.5,1.1,0,R00087,False
,standard Gibbs energy of reaction,-57.8,7.0,0,R00088,False
,standard Gibbs energy of reaction,7.0,2.0,0,R00089,False
,standard Gibbs energy of reaction,-326.5,6.4,0,R00090,False
,standard Gibbs energy of reaction,-6.3,6.6,0,R00091,False
,standard Gibbs energy of reaction,206.9,16.4,0,R00092,False
,standard Gibbs energy of reaction,49.4,1.8,0,R00093,False
,standard Gibbs energy of reaction,16.5,1.7,0,R00094,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00095,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00097,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00099,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00100,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00101,False
,standard Gibbs energy of reaction,-35.1,6.3,0,R00102,False
,standard Gibbs energy of reaction,-36.0,5.9,0,R00103,False
,standard Gibbs energy of reaction,-11.8,5.8,0,R00104,False
,standard Gibbs energy of reaction,-10.9,5.8,0,R00105,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00106,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00107,False
