!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Compound' name='Compound' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,,
!Name,!ID,!Location,!Charge,!IsConstant,!SBML:fbc:Charge,!HasOnlySubstanceUnits
10fthf_c,M_10fthf_c,c,0.0,False,0.0,False
10fthf5glu_c,M_10fthf5glu_c,c,0.0,False,0.0,False
10fthf6glu_c,M_10fthf6glu_c,c,0.0,False,0.0,False
10fthf7glu_c,M_10fthf7glu_c,c,0.0,False,0.0,False
11__cis__retfa_c,M_11__cis__retfa_c,c,0.0,False,0.0,False
11docrtsl_c,M_11docrtsl_c,c,0.0,False,0.0,False
11docrtstrn_c,M_11docrtstrn_c,c,0.0,False,0.0,False
12HPET_c,M_12HPET_c,c,0.0,False,0.0,False
12RHPET_c,M_12RHPET_c,c,0.0,False,0.0,False
12ppd__R_c,M_12ppd__R_c,c,0.0,False,0.0,False
12ppd__S_c,M_12ppd__S_c,c,0.0,False,0.0,False
13__cis__oretn_c,M_13__cis__oretn_c,c,0.0,False,0.0,False
13__cis__retn_c,M_13__cis__retn_c,c,0.0,False,0.0,False
13__cis__retnglc_c,M_13__cis__retnglc_c,c,0.0,False,0.0,False
13dampp_c,M_13dampp_c,c,0.0,False,0.0,False
13dpg_c,M_13dpg_c,c,0.0,False,0.0,False
15HPET_c,M_15HPET_c,c,0.0,False,0.0,False
17ahprgnlone_c,M_17ahprgnlone_c,c,0.0,False,0.0,False
17ahprgstrn_c,M_17ahprgstrn_c,c,0.0,False,0.0,False
1mncam_c,M_1mncam_c,c,0.0,False,0.0,False
1mpyr_c,M_1mpyr_c,c,0.0,False,0.0,False
1pyr5c_c,M_1pyr5c_c,c,0.0,False,0.0,False
23doguln_c,M_23doguln_c,c,0.0,False,0.0,False
23dpg_c,M_23dpg_c,c,0.0,False,0.0,False
2425dhvitd2_c,M_2425dhvitd2_c,c,0.0,False,0.0,False
2425dhvitd3_c,M_2425dhvitd3_c,c,0.0,False,0.0,False
24nph_c,M_24nph_c,c,0.0,False,0.0,False
25aics_c,M_25aics_c,c,0.0,False,0.0,False
25hvitd2_c,M_25hvitd2_c,c,0.0,False,0.0,False
25hvitd3_c,M_25hvitd3_c,c,0.0,False,0.0,False
2amac_c,M_2amac_c,c,0.0,False,0.0,False
2ameph_c,M_2ameph_c,c,0.0,False,0.0,False
2c23dh56dhoxin_c,M_2c23dh56dhoxin_c,c,0.0,False,0.0,False
2dr1p_c,M_2dr1p_c,c,0.0,False,0.0,False
2dr5p_c,M_2dr5p_c,c,0.0,False,0.0,False
