!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,,
!Type,!ID,!Value,!Sign,!Unit,!UseAsPriorInformation,!Parameter:SBML:parameter:id
global parameter,cobra_default_lb,-100000.0,0,mmol_per_gDW_per_hr,False,cobra_default_lb
global parameter,cobra_default_ub,100000.0,0,mmol_per_gDW_per_hr,False,cobra_default_ub
global parameter,cobra_0_bound,0.0,0,mmol_per_gDW_per_hr,False,cobra_0_bound
global parameter,R_DM_T_antigen_g_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_DM_T_antigen_g_lower_bound
global parameter,R_EX_arg__L_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_arg__L_e_lower_bound
global parameter,R_EX_ca2_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_ca2_e_lower_bound
global parameter,R_EX_cl_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_cl_e_lower_bound
global parameter,R_EX_co_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_co_e_lower_bound
global parameter,R_EX_co2_e_lower_bound,-100.0,0,mmol_per_gDW_per_hr,False,R_EX_co2_e_lower_bound
global parameter,R_EX_fe2_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_fe2_e_lower_bound
global parameter,R_EX_fe3_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_fe3_e_lower_bound
global parameter,R_EX_glc_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_glc_e_lower_bound
global parameter,R_EX_glyc_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_glyc_e_lower_bound
global parameter,R_EX_h_e_lower_bound,-100.0,0,mmol_per_gDW_per_hr,False,R_EX_h_e_lower_bound
global parameter,R_EX_h2o_e_lower_bound,-100.0,0,mmol_per_gDW_per_hr,False,R_EX_h2o_e_lower_bound
global parameter,R_EX_hco3_e_lower_bound,-100.0,0,mmol_per_gDW_per_hr,False,R_EX_hco3_e_lower_bound
global parameter,R_EX_hdca_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_hdca_e_lower_bound
global parameter,R_EX_his__L_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_his__L_e_lower_bound
global parameter,R_EX_i_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_i_e_lower_bound
global parameter,R_EX_ile__L_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_ile__L_e_lower_bound
global parameter,R_EX_k_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_k_e_lower_bound
global parameter,R_EX_leu__L_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_leu__L_e_lower_bound
global parameter,R_EX_lnlc_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_lnlc_e_lower_bound
global parameter,R_EX_lys__L_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_lys__L_e_lower_bound
global parameter,R_EX_met__L_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_met__L_e_lower_bound
global parameter,R_EX_na1_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_na1_e_lower_bound
global parameter,R_EX_nh4_e_lower_bound,-100.0,0,mmol_per_gDW_per_hr,False,R_EX_nh4_e_lower_bound
global parameter,R_EX_o2_e_lower_bound,-100.0,0,mmol_per_gDW_per_hr,False,R_EX_o2_e_lower_bound
global parameter,R_EX_phe__L_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_phe__L_e_lower_bound
global parameter,R_EX_pi_e_lower_bound,-100.0,0,mmol_per_gDW_per_hr,False,R_EX_pi_e_lower_bound
global parameter,R_EX_sel_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_sel_e_lower_bound
global parameter,R_EX_so4_e_lower_bound,-100.0,0,mmol_per_gDW_per_hr,False,R_EX_so4_e_lower_bound
global parameter,R_EX_thr__L_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_thr__L_e_lower_bound
global parameter,R_EX_trp__L_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_trp__L_e_lower_bound
global parameter,R_EX_val__L_e_lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_EX_val__L_e_lower_bound
global parameter,R_sink_pre_prot_LPAREN_er_RPAREN__lower_bound,-1.0,0,mmol_per_gDW_per_hr,False,R_sink_pre_prot_LPAREN_er_RPAREN__lower_bound
global parameter,R_biomass_mm_1_no_glygln_upper_bound,1000.0,0,mmol_per_gDW_per_hr,False,R_biomass_mm_1_no_glygln_upper_bound
