!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Reaction' name='Reaction' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,,,,,,,,,
!Name,!ID,!ReactionFormula,!IsComplete,!IsReversible,!IsInEquilibrium,!IsExchangeReaction,!IsNonEnzymatic,!BuildReaction,!BuildEnzyme,!BuildEnzymeProduction,!SBML:fbc:GeneAssociation,!SBML:fbc:LowerBound,!SBML:fbc:UpperBound
DM_13__cis__oretn_n,R_DM_13__cis__oretn_n,M_13__cis__oretn_n <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_0_bound
DM_13__cis__retn_n,R_DM_13__cis__retn_n,M_13__cis__retn_n <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_0_bound
DM_Asn__X__Ser_FSLASH_Thr_LPAREN_ly_RPAREN_,R_DM_Asn__X__Ser_FSLASH_Thr_LPAREN_ly_RPAREN_,M_Asn__X__Ser_FSLASH_Thr_l <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_Ser__Gly_FSLASH_Ala__X__Gly_LPAREN_ly_RPAREN_,R_DM_Ser__Gly_FSLASH_Ala__X__Gly_LPAREN_ly_RPAREN_,M_Ser__Gly_FSLASH_Ala__X__Gly_l <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_Ser_FSLASH_Thr_LPAREN_ly_RPAREN_,R_DM_Ser_FSLASH_Thr_LPAREN_ly_RPAREN_,M_Ser_FSLASH_Thr_l <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_atp_c,R_DM_atp_c,M_atp_c + M_h2o_c <=> M_adp_c + M_h_c + M_pi_c,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_avite1_c,R_DM_avite1_c,M_avite1_c <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_avite2_c,R_DM_avite2_c,M_avite2_c <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_bvite_c,R_DM_bvite_c,M_bvite_c <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_core5_g,R_DM_core5_g,M_core5_g <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_core7_g,R_DM_core7_g,M_core7_g <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_core8_g,R_DM_core8_g,M_core8_g <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_datp_m,R_DM_datp_m,M_datp_m <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_datp_n,R_DM_datp_n,M_datp_n <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_dctp_m,R_DM_dctp_m,M_dctp_m <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_dctp_n,R_DM_dctp_n,M_dctp_n <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_dem2emgacpail_prot_hs_r,R_DM_dem2emgacpail_prot_hs_r,M_dem2emgacpail_prot_hs_r <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_dgpi_prot_hs_r,R_DM_dgpi_prot_hs_r,M_dgpi_prot_hs_r <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_dgtp_m,R_DM_dgtp_m,M_dgtp_m <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_dgtp_n,R_DM_dgtp_n,M_dgtp_n <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_dsT_antigen_g,R_DM_dsT_antigen_g,M_dsT_antigen_g <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_dttp_m,R_DM_dttp_m,M_dttp_m <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_dttp_n,R_DM_dttp_n,M_dttp_n <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
DM_ethamp_r,R_DM_ethamp_r,M_ethamp_r <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
