!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:18:17' objTablesVersion='1.0.5' level='1.0' version='0.1'											
!Reference	!QuantityType	!Mean	!Std	!Sign	!Unit	!Compound:SBML:species:id	!Reaction:SBML:reaction:id	!Organism	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!UseAsPriorInformation
yeastGFP	concentration of enzyme	169000.0		0	molecules/cell	nan	vGAPDH	Saccharomyces cerevisiae	R01061	nan	False
yeastGFP	concentration of enzyme	120000.0		0	molecules/cell	nan	vGAPDH	Saccharomyces cerevisiae	R01061	nan	False
yeastGFP	concentration of enzyme	121000.0		0	molecules/cell	nan	vGAPDH	Saccharomyces cerevisiae	R01061	nan	False
NIST	equilibrium constant	0.0984		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.156		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.17		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.187		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.193		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.205		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.337		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.36		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.41		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.42		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.43		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.433		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.44		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
NIST	equilibrium constant	0.45		0	dimensionless	nan	vGAPDH	nan	R01061	nan	False
