!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Reaction' name='Reaction' date='2020-07-18 12:18:29' objTablesVersion='1.0.5' document='BIOMD0000000064'													
!Name	!ID	!ReactionFormula	!IsComplete	!IsReversible	!IsInEquilibrium	!IsExchangeReaction	!IsNonEnzymatic	!KineticLaw	!BuildReaction	!BuildEnzyme	!BuildEnzymeProduction	!Identifiers:ec-code	!Regulator
Hexokinase	vGLK	GLCi + P <=> G6P	False	True	False	False	False	cytosol * VmGLK / (KmGLKGLCi * KmGLKATP) * (GLCi * ATP - G6P * ADP / KeqGLK) / ((1 + GLCi / KmGLKGLCi + G6P / KmGLKG6P) * (1 + ATP / KmGLKATP + ADP / KmGLKADP))	False	False	False	2.7.1.2	ATP|ADP
Glucose-6-phosphate isomerase	vPGI	G6P <=> F6P	False	True	False	False	False	cytosol * VmPGI_2 / KmPGIG6P_2 * (G6P - F6P / KeqPGI_2) / (1 + G6P / KmPGIG6P_2 + F6P / KmPGIF6P_2)	False	False	False	5.3.1.9	
Glycogen synthesis	vGLYCO	G6P + P <=> Glyc	False	False	False	False	False	cytosol * KGLYCOGEN_3	False	False	False		
Trehalose 6-phosphate synthase	vTreha	2.0 G6P + P <=> Trh	False	False	False	False	False	cytosol * KTREHALOSE	False	False	False		
Phosphofructokinase	vPFK	F6P + P <=> F16P	False	False	False	False	False	cytosol * VmPFK * gR * (F6P / KmPFKF6P) * (ATP / KmPFKATP) * R_PFK(KmPFKF6P, KmPFKATP, gR, ATP, F6P) / (pow(R_PFK(KmPFKF6P, KmPFKATP, gR, ATP, F6P), 2) + L_PFK(Lzero, CiPFKATP, KiPFKATP, CPFKAMP, KPFKAMP, CPFKF26BP, KPFKF26BP, CPFKF16BP, KPFKF16BP, ATP, AMP, F16P, F26BP) * pow(T_PFK(CPFKATP, KmPFKATP, ATP), 2))	False	False	False	2.7.1.11	AMP|ATP|F26BP
Aldolase	vALD	F16P <=> 2.0 TRIO	False	True	False	False	False	cytosol * VmALD / KmALDF16P * (F16P - KeqTPI / (1 + KeqTPI) * TRIO * (1 / (1 + KeqTPI)) * TRIO / KeqALD) / (1 + F16P / KmALDF16P + KeqTPI / (1 + KeqTPI) * TRIO / KmALDGAP + 1 / (1 + KeqTPI) * TRIO / KmALDDHAP + KeqTPI / (1 + KeqTPI) * TRIO * (1 / (1 + KeqTPI)) * TRIO / (KmALDGAP * KmALDDHAP) + F16P * (KeqTPI / (1 + KeqTPI)) * TRIO / (KmALDGAPi * KmALDF16P))	False	False	False	4.1.2.13	
Glyceraldehyde 3-phosphate dehydrogenase	vGAPDH	TRIO + NAD <=> BPG + NADH	False	True	False	False	False	cytosol * (VmGAPDHf * (KeqTPI / (1 + KeqTPI)) * TRIO * NAD / (KmGAPDHGAP * KmGAPDHNAD) - VmGAPDHr * BPG * NADH / (KmGAPDHBPG * KmGAPDHNADH)) / ((1 + KeqTPI / (1 + KeqTPI) * TRIO / KmGAPDHGAP + BPG / KmGAPDHBPG) * (1 + NAD / KmGAPDHNAD + NADH / KmGAPDHNADH))	False	False	False	1.2.1.12	
Phosphoglycerate kinase	vPGK	BPG <=> P3G + P	False	True	False	False	False	cytosol * VmPGK / (KmPGKP3G * KmPGKATP) * (KeqPGK * BPG * ADP - P3G * ATP) / ((1 + BPG / KmPGKBPG + P3G / KmPGKP3G) * (1 + ATP / KmPGKATP + ADP / KmPGKADP))	False	False	False	2.7.2.3	ATP|ADP
Phosphoglycerate mutase	vPGM	P3G <=> P2G	False	True	False	False	False	cytosol * VmPGM / KmPGMP3G * (P3G - P2G / KeqPGM) / (1 + P3G / KmPGMP3G + P2G / KmPGMP2G)	False	False	False	5.4.2.1	
Enolase	vENO	P2G <=> PEP	False	True	False	False	False	cytosol * VmENO / KmENOP2G * (P2G - PEP / KeqENO) / (1 + P2G / KmENOP2G + PEP / KmENOPEP)	False	False	False	4.2.1.11	
Pyruvate kinase	vPYK	PEP <=> PYR + P	False	True	False	False	False	cytosol * VmPYK / (KmPYKPEP * KmPYKADP) * (PEP * ADP - PYR * ATP / KeqPYK) / ((1 + PEP / KmPYKPEP + PYR / KmPYKPYR) * (1 + ATP / KmPYKATP + ADP / KmPYKADP))	False	False	False	2.7.1.40	ATP|ADP
Pyruvate decarboxylase	vPDC	PYR <=> ACE + CO2	False	False	False	False	False	cytosol * VmPDC * (pow(PYR, nPDC) / pow(KmPDCPYR, nPDC)) / (1 + pow(PYR, nPDC) / pow(KmPDCPYR, nPDC))	False	False	False	4.1.1.1	
Succinate synthesis	vSUC	2.0 ACE + 3.0 NAD + 4.0 P <=> 3.0 NADH + SUCC	False	False	False	False	False	cytosol * KSUCC * ACE	False	False	False		
Glucose transport	vGLT	GLCo <=> GLCi	False	True	False	False	False	VmGLT / KmGLTGLCo * (GLCo - GLCi / KeqGLT) / (1 + GLCo / KmGLTGLCo + GLCi / KmGLTGLCi + 0.91 * GLCo * GLCi / (KmGLTGLCo * KmGLTGLCi))	False	False	False		
Alcohol dehydrogenase	vADH	ACE + NADH <=> NAD + ETOH	False	True	False	False	False	#NAME?	False	False	False	1.1.1.2	
Glycerol 3-phosphate dehydrogenase	vG3PDH	TRIO + NADH <=> NAD + GLY	False	False	False	False	False	cytosol * VmG3PDH / (KmG3PDHDHAP * KmG3PDHNADH) * (1 / (1 + KeqTPI) * TRIO * NADH - GLY * NAD / KeqG3PDH) / ((1 + 1 / (1 + KeqTPI) * TRIO / KmG3PDHDHAP + GLY / KmG3PDHGLY) * (1 + NADH / KmG3PDHNADH + NAD / KmG3PDHNAD))	False	False	False	1.1.1.8	
ATPase activity	vATP	P <=>	False	True	False	False	False	cytosol * KATPASE * ATP	False	False	False	3.6.1.3	ATP
