!!ObjTables objTablesVersion='0.0.8' schema='SBtab' type='Data' id='Relationship' description='YeastTranscriptionalRegulation'		
!FromObject	!ToObject	!Relation
ABF1	YAL041W	Binds
ABF1	YAL042W	Binds
ABF1	YAL043C	Binds
ABF1	YAL053W	Binds
ABF1	YAL054C	Binds
ABF1	YBL007C	Binds
ABF1	YBL038W	Binds
ABF1	YBL039C	Binds
ABF1	YBL079W	Binds
ABF1	YBR011C	Binds
ABF1	YBR077C	Binds
ABF1	YBR078W	Binds
ABF1	YBR080C	Binds
ABF1	YBR146W	Binds
ABF1	YBR211C	Binds
ABF1	YBR212W	Binds
ABF1	YBR283C	Binds
ABF1	YBR284W	Binds
ABF1	YCL005W	Binds
ABF1	YCL011C	Binds
ABF1	YCL016C	Binds
ABF1	YCL017C	Binds
ABF1	YCL031C	Binds
ABF1	YCR001W	Binds
ABF1	YCR003W	Binds
ABF1	YCR053W	Binds
ABF1	YCR082W	Binds
ABF1	YDL032W	Binds
ABF1	YDL035C	Binds
ABF1	YDL105W	Binds
ABF1	YDL106C	Binds
ABF1	YDL122W	Binds
ABF1	YDL145C	Binds
ABF1	YDL160C	Binds
ABF1	YDL190C	Binds
ABF1	YDL193W	Binds
ABF1	YDR027C	Binds
ABF1	YDR130C	Binds
ABF1	YDR194C	Binds
ABF1	YDR195W	Binds
ABF1	YDR233C	Binds
ABF1	YDR234W	Binds
ABF1	YDR280W	Binds
ABF1	YDR283C	Binds
ABF1	YDR284C	Binds
ABF1	YDR285W	Binds
ABF1	YDR295C	Binds
ABF1	YDR296W	Binds
ABF1	YDR312W	Binds
ABF1	YDR326C	Binds
ABF1	YDR327W	Binds
ABF1	YDR329C	Binds
ABF1	YDR330W	Binds
ABF1	YDR339C	Binds
ABF1	YDR340W	Binds
ABF1	YDR361C	Binds
ABF1	YDR384C	Binds
ABF1	YDR385W	Binds
ABF1	YDR404C	Binds
ABF1	YDR405W	Binds
ABF1	YDR422C	Binds
ABF1	YDR463W	Binds
ABF1	YEL017W	Binds
ABF1	YEL037C	Binds
ABF1	YFL018C	Binds
ABF1	YFL047W	Binds
ABF1	YFL048C	Binds
ABF1	YGL106W	Binds
ABF1	YGL107C	Binds
ABF1	YGL122C	Binds
ABF1	YGL192W	Binds
ABF1	YGL194C	Binds
ABF1	YGL195W	Binds
ABF1	YGL222C	Binds
ABF1	YGL228W	Binds
ABF1	YGR056W	Binds
ABF1	YGR119C	Binds
ABF1	YGR128C	Binds
ABF1	YGR129W	Binds
ABF1	YGR185C	Binds
ABF1	YGR186W	Binds
ABF1	YGR231C	Binds
ABF1	YGR232W	Binds
ABF1	YGR252W	Binds
ABF1	YGR253C	Binds
ABF1	YGR268C	Binds
ABF1	YGR270W	Binds
ABF1	YHL027W	Binds
ABF1	YHL028W	Binds
ABF1	YHL029C	Binds
ABF1	YHR064C	Binds
ABF1	YHR077C	Binds
ABF1	YHR078W	Binds
ABF1	YHR090C	Binds
ABF1	YHR115C	Binds
ABF1	YHR116W	Binds
ABF1	YHR165C	Binds
ABF1	YHR199C	Binds
ABF1	YHR200W	Binds
ABF1	YIL031W	Binds
ABF1	YIL048W	Binds
ABF1	YIL135C	Binds
ABF1	YIR010W	Binds
ABF1	YIR023W	Binds
ABF1	YJL008C	Binds
ABF1	YJL062W	Binds
ABF1	YJL063C	Binds
ABF1	YJL111W	Binds
ABF1	YJL174W	Binds
ABF1	YJL176C	Binds
ABF1	YJL183W	Binds
ABF1	YJR104C	Binds
ABF1	YJR105W	Binds
ABF1	YJR116W	Binds
ABF1	YJR137C	Binds
ABF1	YJR138W	Binds
ABF1	YKL004W	Binds
ABF1	YKL005C	Binds
ABF1	YKL014C	Binds
ABF1	YKL028W	Binds
ABF1	YKL029C	Binds
ABF1	YKL060C	Binds
ABF1	YKL135C	Binds
ABF1	YKL144C	Binds
ABF1	YKL167C	Binds
ABF1	YKL172W	Binds
ABF1	YKL179C	Binds
ABF1	YKL190W	Binds
ABF1	YKL195W	Binds
ABF1	YKL196C	Binds
ABF1	YKR030W	Binds
ABF1	YKR056W	Binds
ABF1	YKR059W	Binds
ABF1	YKR081C	Binds
ABF1	YKR082W	Binds
ABF1	YLL011W	Binds
ABF1	YLL033W	Binds
ABF1	YLL034C	Binds
ABF1	YLR024C	Binds
ABF1	YLR025W	Binds
ABF1	YLR055C	Binds
ABF1	YLR056W	Binds
ABF1	YLR095C	Binds
ABF1	YLR096W	Binds
ABF1	YLR174W	Binds
ABF1	YLR222C	Binds
ABF1	YLR264W	Binds
ABF1	YLR293C	Binds
ABF1	YLR330W	Binds
ABF1	YLR396C	Binds
ABF1	YLR399C	Binds
ABF1	YLR400W	Binds
ABF1	YML012W	Binds
ABF1	YMR005W	Binds
ABF1	YMR061W	Binds
ABF1	YMR078C	Binds
ABF1	YMR092C	Binds
ABF1	YMR093W	Binds
ABF1	YMR129W	Binds
ABF1	YMR197C	Binds
ABF1	YMR198W	Binds
ABF1	YMR200W	Binds
ABF1	YMR296C	Binds
ABF1	YMR297W	Binds
ABF1	YNL036W	Binds
ABF1	YNL037C	Binds
ABF1	YNL057W	Binds
ABF1	YNL059C	Binds
ABF1	YNL085W	Binds
ABF1	YNL116W	Binds
ABF1	YNL118C	Binds
ABF1	YNL119W	Binds
ABF1	YNL121C	Binds
ABF1	YNL149C	Binds
ABF1	YNL183C	Binds
ABF1	YNL189W	Binds
ABF1	YNL212W	Binds
ABF1	YNL213C	Binds
ABF1	YNL255C	Binds
ABF1	YNL267W	Binds
ABF1	YNL287W	Binds
ABF1	YNL306W	Binds
ABF1	YNL307C	Binds
ABF1	YNL312W	Binds
ABF1	YNL313C	Binds
ABF1	YNL321W	Binds
ABF1	YNL322C	Binds
ABF1	YNR037C	Binds
ABF1	YNR038W	Binds
ABF1	YNR046W	Binds
ABF1	YOL036W	Binds
ABF1	YOL068C	Binds
ABF1	YOL076W	Binds
ABF1	YOL077C	Binds
ABF1	YOL116W	Binds
ABF1	YOR045W	Binds
ABF1	YOR056C	Binds
ABF1	YOR057W	Binds
ABF1	YOR116C	Binds
ABF1	YOR117W	Binds
ABF1	YOR145C	Binds
ABF1	YOR147W	Binds
ABF1	YOR205C	Binds
ABF1	YOR206W	Binds
ABF1	YOR207C	Binds
ABF1	YOR208W	Binds
ABF1	YOR209C	Binds
ABF1	YOR210W	Binds
ABF1	YOR261C	Binds
ABF1	YOR262W	Binds
ABF1	YOR309C	Binds
ABF1	YOR310C	Binds
ABF1	YOR322C	Binds
ABF1	YPL012W	Binds
ABF1	YPL013C	Binds
ABF1	YPL036W	Binds
ABF1	YPL037C	Binds
ABF1	YPL159C	Binds
ABF1	YPL228W	Binds
ABF1	YPL242C	Binds
ABF1	YPR017C	Binds
ABF1	YPR018W	Binds
ABF1	YPR104C	Binds
ABF1	YPR128C	Binds
ABF1	YPR129W	Binds
ABF1	YPR176C	Binds
ABF1	YPR178W	Binds
ABF1	YPR186C	Binds
ABF1	YPR187W	Binds
ACE2	YAL062W	Binds
ACE2	YBR158W	Binds
ACE2	YBR229C	Binds
ACE2	YDR154C	Binds
ACE2	YDR155C	Binds
ACE2	YDR156W	Binds
ACE2	YDR157W	Binds
ACE2	YDR158W	Binds
ACE2	YEL007W	Binds
ACE2	YER078C	Binds
ACE2	YER079W	Binds
ACE2	YER081W	Binds
ACE2	YER124C	Binds
ACE2	YER125W	Binds
ACE2	YER126C	Binds
ACE2	YER127W	Binds
ACE2	YER152C	Binds
ACE2	YER153C	Binds
ACE2	YER154W	Binds
ACE2	YER177W	Binds
ACE2	YER189W	Binds
ACE2	YER190W	Binds
ACE2	YFL021W	Binds
ACE2	YFL022C	Binds
ACE2	YFR017C	Binds
ACE2	YGL008C	Binds
ACE2	YGL028C	Binds
ACE2	YGL226W	Binds
ACE2	YGL227W	Binds
ACE2	YGL228W	Binds
ACE2	YGR041W	Binds
ACE2	YGR125W	Binds
ACE2	YHR143W	Binds
ACE2	YHR195W	Binds
ACE2	YJL075C	Binds
ACE2	YJL078C	Binds
ACE2	YJL080C	Binds
ACE2	YJL159W	Binds
ACE2	YJR145C	Binds
ACE2	YJR146W	Binds
ACE2	YJR147W	Binds
ACE2	YJR149W	Binds
ACE2	YKL084W	Binds
ACE2	YKL150W	Binds
ACE2	YKL151C	Binds
ACE2	YKR040C	Binds
ACE2	YLR286C	Binds
ACE2	YLR397C	Binds
ACE2	YML007W	Binds
ACE2	YML008C	Binds
ACE2	YNL327W	Binds
ACE2	YNL328C	Binds
ACE2	YPL024W	Binds
ARG81	YBR099C	Binds
ARG81	YJL085W	Binds
ARO80	YDR289C	Binds
ARO80	YDR375C	Binds
ARO80	YDR376W	Binds
ARO80	YDR377W	Binds
ARO80	YDR378C	Binds
ARO80	YDR379W	Binds
ARO80	YDR380W	Binds
ARO80	YDR381W	Binds
ARO80	YDR382W	Binds
ARO80	YDR421W	Binds
ARO80	YDR523C	Binds
ARO80	YHR135C	Binds
ARO80	YHR136C	Binds
ARO80	YHR137W	Binds
ARO80	YHR140W	Binds
ARO80	YHR156C	Binds
ARO80	YNL124W	Binds
ARO80	YNL125C	Binds
ARO80	YNL126W	Binds
CAD1	YBL008W	Binds
CAD1	YBR102C	Binds
CAD1	YBR103W	Binds
CAD1	YDL239C	Binds
CAD1	YDR132C	Binds
CAD1	YGL157W	Binds
CAD1	YGR233C	Binds
CAD1	YHL039W	Binds
CAD1	YHL040C	Binds
CAD1	YHR053C	Binds
CAD1	YHR055C	Binds
CAD1	YKL039W	Binds
CAD1	YKL040C	Binds
CAD1	YKL086W	Binds
CAD1	YKL087C	Binds
CAD1	YKL101W	Binds
CAD1	YKL102C	Binds
CAD1	YKL103C	Binds
CAD1	YKL154W	Binds
CAD1	YKL155C	Binds
CAD1	YKR052C	Binds
CAD1	YKR071C	Binds
CAD1	YLL060C	Binds
CAD1	YLR108C	Binds
CAD1	YLR109W	Binds
CAD1	YMR038C	Binds
CAD1	YOL119C	Binds
CAD1	YOR173W	Binds
