!!ObjTables type='Schema' tableFormat='row' description='Table/model and column/attribute definitions' date='2020-05-29 00:17:37' objTablesVersion='1.0.0',,,,,,
!Name,!Type,!Parent,!Format,!Verbose name,!Verbose name plural,!Description
Company,Class,,column,Company,Companies,
address,Attribute,Company,"OneToOne('Address', related_name='company')",Address,,
name,Attribute,Company,"String(primary=True, unique=True)",Name,,
url,Attribute,Company,Url,URL,,Enter a valid URL
Person,Class,,row,Person,People,
address,Attribute,Person,"ManyToOne('Address', related_name='people')",Address,,
company,Attribute,Person,"ManyToOne('Company', related_name='employees')",Company,,
email_address,Attribute,Person,Email,Email address,,Enter a valid email address
name,Attribute,Person,"String(primary=True, unique=True)",Name,,
phone_number,Attribute,Person,String,Phone number,,
type,Attribute,Person,"Enum([('family', 'family'), ('friend', 'friend'), ('business', 'business')])",Type,,
Address,Class,,multiple_cells,Address,Addresses,
city,Attribute,Address,String,City,,
country,Attribute,Address,String,Country,,
state,Attribute,Address,String,State,,
street,Attribute,Address,"String(primary=True, unique=True)",Street,,
zip_code,Attribute,Address,String,Zip code,,
